"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"4/30/2019 9 a.m. EDT",26931,2874,41784,8733,3747,150084,90047,88763,413420
US48,"4/30/2019 10 a.m. EDT",26495,8291,44458,9038,3969,153362,92755,88738,427321
US48,"4/30/2019 11 a.m. EDT",27879,16120,43429,9266,4167,155442,93715,88812,439306
US48,"4/30/2019 12 p.m. EDT",28339,20045,42131,9491,4208,158674,94710,88757,447012
US48,"4/30/2019 1 p.m. EDT",30000,22275,42153,9440,4221,162968,94958,88665,455292
US48,"4/30/2019 2 p.m. EDT",32394,22953,42866,9450,4123,165830,95027,88497,461648
US48,"4/30/2019 3 p.m. EDT",34569,22478,45393,9432,4132,168518,95918,88333,469284
US48,"4/30/2019 4 p.m. EDT",34247,22238,46784,9491,4280,172451,97650,88280,475926
US48,"4/30/2019 5 p.m. EDT",32940,21255,49138,9480,4292,175100,98119,88294,478922
US48,"4/30/2019 6 p.m. EDT",33731,18737,49810,9295,4330,176639,98909,88282,480149
US48,"4/30/2019 7 p.m. EDT",33520,16117,49791,9410,4370,177313,97917,88325,477540
US48,"4/30/2019 8 p.m. EDT",34188,12836,50714,9422,4229,175910,96917,88345,473131
US48,"4/30/2019 9 p.m. EDT",34859,7897,49741,9363,3952,176938,97497,88396,469444
US48,"4/30/2019 10 p.m. EDT",34321,1890,50005,9150,3992,171857,97977,88442,458619
US48,"4/30/2019 11 p.m. EDT",33770,996,47316,8605,3803,161372,95483,88364,440316
US48,"5/1/2019 12 a.m. EDT",31291,325,44683,7884,3400,142756,89374,88228,409432
